Address,Latitude,Longitude,Neighborhood
"857 Phineas St Pittsburgh, PA ",40.455765,-79.993122,Troy Hill
"631 Suismon  Street Pittsburgh, PA ",40.455985,-79.996253,East Allegheny
"117 Walter St Pittsburgh, PA ",40.420383,-79.994725,Allentown
"547 Greenfield  Avenue Pittsburgh, PA ",40.424902,-79.952426,Greenfield
"2240 Babcock Boulevard Pittsburgh, PA ",39.78373,-100.445882,
"1332 N Canal St Pittsburgh, PA ",40.453595,-79.997739,East Allegheny
"1930 Sidney  Street Pittsburgh, PA ",40.429111,-79.970903,South Side Flats
"422 Greenfield Ave Pittsburgh, PA ",40.424902,-79.952426,Greenfield
"1918 Brownsville  Road Pittsburgh, PA ",40.386932,-79.982947,Carrick
"3501 Leechburg Rd Pittsburgh, PA ",39.78373,-100.445882,
"528 Thomas St Pittsburgh, PA ",40.454556,-79.910241,Larimer
"618 California Ave Pittsburgh, PA ",40.462902,-80.031429,Marshall-Shadeland
"970 Hough Dr Pittsburgh, PA ",39.78373,-100.445882,
"619 Wm Penn Place Pittsburgh, PA ",39.78373,-100.445882,
"5 McMasters Way Pittsburgh, PA ",40.440874,-80.001905,Downtown
"559 Lincoln  Avenue Pittsburgh, PA ",40.464496,-79.899624,Homewood West
"853 Boggs  Avenue Pittsburgh, PA ",40.422351,-80.010161,Mount Washington
"1128 Brownsville  Road Pittsburgh, PA ",40.386932,-79.982947,Carrick
"99 Schuetzen Park Road Pittsburgh, PA ",39.78373,-100.445882,
"4059 Blvd  Drive Pittsburgh, PA ",40.427218,-79.935989,Greenfield
"560 Lincoln  Avenue Pittsburgh, PA ",40.464496,-79.899624,Homewood West
"700 Taylor Avenue Pittsburgh, PA ",39.78373,-100.445882,
"7934 Saltsburg Rd Pittsburgh, PA ",39.78373,-100.445882,
"8145 Ohio River Blvd Pittsburgh, PA ",40.448877,-80.017796,Chateau
"4602 Liberty Avenue Pittsburgh, PA ",40.458813,-79.943713,Bloomfield
"517 Perry Highway Pittsburgh, PA ",40.49831,-80.020311,Perry North
"2200 Wylie  Avenue Pittsburgh, PA ",40.44592,-79.976839,Middle Hill
"202 Stanwix St Pittsburgh, PA ",40.43978,-80.004572,Downtown
"255 Washington Road Pittsburgh, PA ",39.78373,-100.445882,
"1 Bigelow Square Pittsburgh, PA ",40.440472,-79.99398,Downtown
"315 Shady  Avenue Pittsburgh, PA ",40.456273,-79.921872,Shadyside
"13041 Frankstown Rd Pittsburgh, PA ",40.459808,-79.873891,East Hills
"232 North Avenue Pittsburgh, PA ",39.78373,-100.445882,
"910 5th Avenue Pittsburgh, PA ",40.454898,-79.911439,Larimer
"656 Center Avenue Pittsburgh, PA ",40.395719,-79.839108,
"5134 Carnegie Street Pittsburgh, PA ",40.481046,-79.952689,Upper Lawrenceville
"1131 Woods Run Ave Pittsburgh, PA ",40.480198,-80.026801,Perry North
"364 Pine Street Pittsburgh, PA ",39.78373,-100.445882,
"207 Atwood  Street Pittsburgh, PA ",40.440917,-79.957296,Central Oakland
"7526 Center Street Pittsburgh, PA ",40.396127,-79.844571,
"4763 Liberty Avenue Pittsburgh, PA ",40.458813,-79.943713,Bloomfield
"1811 Leechburg Rd Pittsburgh, PA ",39.78373,-100.445882,
"4705 Centre Avenue Pittsburgh, PA ",40.452774,-79.949442,North Oakland
"2125 Babcock Boulevard Pittsburgh, PA ",39.78373,-100.445882,
"255 Camp Horne  Road Pittsburgh, PA ",39.78373,-100.445882,
"103 Capital Avenue Pittsburgh, PA ",40.403528,-80.018054,Brookline
"5104 Liberty  Avenue Pittsburgh, PA ",40.458813,-79.943713,Bloomfield
"100 Park Manor Drive Pittsburgh, PA ",39.78373,-100.445882,
"1721 Penn Avenue Pittsburgh, PA ",40.44763,-79.896615,Point Breeze North
"927 Western Avenue Pittsburgh, PA ",40.450645,-80.023662,Chateau
"12 Smithfield Street Pittsburgh, PA ",40.435636,-80.00166,South Shore
"7619 1/2 Penn Ave Pittsburgh, PA ",39.78373,-100.445882,
"28 W Steuben St Pittsburgh, PA ",40.444418,-80.028667,West End
"1500 Radford Rd Pittsburgh, PA ",39.78373,-100.445882,
"3386 Wm Penn Hwy Pittsburgh, PA ",39.78373,-100.445882,
"1206 Brighton Road Pittsburgh, PA ",40.455736,-80.01522,Central Northside
"5245 Butler St Pittsburgh, PA ",40.48751,-79.918531,Morningside
"1 Isabella Street Pittsburgh, PA ",40.447897,-80.002218,North Shore
"7535 Roslyn St Pittsburgh, PA ",39.78373,-100.445882,
"3803 Forbes Ave Pittsburgh, PA ",40.439537,-79.899134,Regent Square
"830 Clairton Blvd Pittsburgh, PA ",39.78373,-100.445882,
"14 Wabash Avenue Pittsburgh, PA ",39.78373,-100.445882,
"433 Perry Highway Pittsburgh, PA ",40.49831,-80.020311,Perry North
"3912 Perrysville  Avenue Pittsburgh, PA ",40.48998,-80.018162,Perry North
"1314 E Carson St Pittsburgh, PA ",40.428551,-79.984634,South Side Flats
"627 Lorenz Avenue Pittsburgh, PA ",40.44507,-80.039008,Elliott
"2806 Straka Street Pittsburgh, PA ",40.452545,-80.055075,Sheraden
"1 Rico Lane Pittsburgh, PA ",39.78373,-100.445882,
"349 Cedarville Street Pittsburgh, PA ",40.461283,-79.949239,Bloomfield
